true_stress_MPa,plastic_strain
355.0,0.0
368.89047183499997,0.0008749131794868344
380.32507225300003,0.0011794521498743641
388.5749518336,0.0014960376572797503
395.2866028011,0.001897530211628992
399.83694381600003,0.0023290426348933028
402.83521449599994,0.0028274583039240688
404.01267831,0.003362134532523069
404.4161462166,0.003998624767480647
404.7317376471,0.004777180708750377
405.1539998800001,0.005582411522505479
405.9465789686001,0.006513151015838353
406.8890310812,0.007430416289133694
408.320928619,0.008392009560324645
410.0590554088,0.009246393653398827
412.30765321900003,0.010093651335977848
415.20337346260004,0.0110249461718319
418.17863735500003,0.01198060947231128
421.55440736379995,0.013080205531434222
424.879107588,0.014184704998551291
428.51445535360006,0.015437814624675715
431.95980394000003,0.01669119851435912
435.50350297910006,0.018000332850883264
439.320347543,0.019463989560696268
442.83772468949996,0.020891698913178672
446.68050513000003,0.022482632298055024
450.2678892144,0.02402251481218797
454.1252984555,0.02574931421421273
457.68559025999997,0.027408472839262427
461.2714850832,0.02912964068137458
465.08589403599996,0.03103631205039372
468.59776589409995,0.03288183267244219
472.3348285005,0.034918432043971735
475.6809153448,0.03686613886194888
479.12787390150004,0.038951548696411105
482.21562988899996,0.04091168096896526
485.21146901159995,0.04286549116597787
488.31314762,0.044958968270491055
491.1026202635,0.04692480160986313
493.99134730289995,0.04902210134600598
496.62690997199996,0.05099576587480081
499.36204755,0.053104094946861274
501.7993047381,0.055064905080953054
504.32387067850004,0.05717500112095083
506.656887863,0.05914800234268446
508.869587863,0.06112421663070562
511.199127162,0.06323828380835753
513.3293934924001,0.0652160919476493
515.5448044084,0.06734343835833183
517.5816454000001,0.06933957469002683
519.7058778,0.07147245505779719
521.6142684654,0.07345997984447662
523.5030235875,0.0754537948181851
525.4953812784,0.07761757650215631
527.29795768,0.0796218868829033
529.194872865,0.0817752159103226
530.9220482451,0.08379352233627238
532.7396223765,0.08596382874306915
534.4120759824001,0.08800130300031929
536.0411713779,0.09003298530537082
537.7512137944,0.0922147713637364
539.3289257928,0.09426079279362895
541.0020651075,0.09645885171797479
542.529035707,0.09851627988154342
544.1450427335,0.1007295698523774
545.635229116,0.10280625169406421
547.126450682,0.1048938629325787
548.6497872438,0.10712659711125803
550.0727296778999,0.10922336648783798
551.553455816,0.11147426362115415
552.9313918125,0.11358881096175044
554.3782285392,0.1158557742343126
555.7241937903,0.11798334119343183
557.03858625,0.12011801247099395
558.4759915916,0.12243196618914443
559.7854033856,0.12459412225225897
561.162416684,0.1269164281575417
562.461231396,0.1291127424280555
563.834087696,0.1314612793623992
565.1129829378,0.13367560536295325
