time,mean_u1_right_mm,sum_rf1_left_N,sum_rf1_right_N,tensile_force_from_left_N,tensile_force_from_right_N,right_u_node_count,left_rf_node_count,right_rf_node_count
0.01,0.02,-653.726942,653.726942,653.726942,653.726942,65,65,65
0.02,0.04,-1307.31293,1307.31293,1307.31293,1307.31293,65,65,65
0.035,0.07,-2287.42774,2287.42774,2287.42774,2287.42774,65,65,65
0.0575,0.115,-3757.00605,3757.00605,3757.00605,3757.00605,65,65,65
0.09125,0.1825,-5960.03798,5960.03798,5960.03798,5960.03798,65,65,65
0.14125,0.2825,-8916.6034,8916.6034,8916.6034,8916.6034,65,65,65
0.19125,0.3825,-9469.01506,9469.01506,9469.01506,9469.01506,65,65,65
0.24125,0.4825,-9931.30716,9931.30716,9931.30716,9931.30716,65,65,65
0.29125,0.5825,-10058.1388,10058.1388,10058.1388,10058.1388,65,65,65
0.34125,0.6825,-10067.03734,10067.03734,10067.03734,10067.03734,65,65,65
0.39125,0.7825,-10085.01606,10085.01606,10085.01606,10085.01606,65,65,65
0.44125,0.8825,-10113.9674,10113.9674,10113.9674,10113.9674,65,65,65
0.49125,0.9825,-10158.66098,10158.66098,10158.66098,10158.66098,65,65,65
0.54125,1.0825,-10219.91432,10219.91432,10219.91432,10219.91432,65,65,65
0.59125,1.1825,-10291.08796,10291.08796,10291.08796,10291.08796,65,65,65
0.64125,1.2825,-10364.10784,10364.10784,10364.10784,10364.10784,65,65,65
0.69125,1.3825,-10436.733619999999,10436.733619999999,10436.733619999999,10436.733619999999,65,65,65
0.74125,1.4825,-10507.35858,10507.35858,10507.35858,10507.35858,65,65,65
0.79125,1.5825,-10575.1322,10575.1322,10575.1322,10575.1322,65,65,65
0.84125,1.6825,-10640.53646,10640.53646,10640.53646,10640.53646,65,65,65
0.89125,1.7825,-10704.11484,10704.11484,10704.11484,10704.11484,65,65,65
0.94125,1.8825,-10765.30592,10765.30592,10765.30592,10765.30592,65,65,65
0.99125,1.9824999999999997,-10823.29828,10823.29828,10823.29828,10823.29828,65,65,65
1.0,2.0,-10833.28564,10833.28564,10833.28564,10833.28564,65,65,65
