i,x_mm,half_width_mm,full_width_mm,zone
0,-107.500000000,12.500000000,25.000000000,grip
1,-105.000000000,12.500000000,25.000000000,grip
2,-102.500000000,12.500000000,25.000000000,grip
3,-100.000000000,12.500000000,25.000000000,grip
4,-97.500000000,12.500000000,25.000000000,grip
5,-95.000000000,12.500000000,25.000000000,grip
6,-92.500000000,12.500000000,25.000000000,grip
7,-90.000000000,12.500000000,25.000000000,grip
8,-87.500000000,12.500000000,25.000000000,grip
9,-85.000000000,12.500000000,25.000000000,grip
10,-82.500000000,12.500000000,25.000000000,grip
11,-80.000000000,12.500000000,25.000000000,grip
12,-77.500000000,12.500000000,25.000000000,grip
13,-75.000000000,12.500000000,25.000000000,grip
14,-72.500000000,12.500000000,25.000000000,transition
15,-70.750000000,12.454687500,24.909375000,transition
16,-69.000000000,12.325000000,24.650000000,transition
17,-67.250000000,12.120312500,24.240625000,transition
18,-65.500000000,11.850000000,23.700000000,transition
19,-63.750000000,11.523437500,23.046875000,transition
20,-62.000000000,11.150000000,22.300000000,transition
21,-60.250000000,10.739062500,21.478125000,transition
22,-58.500000000,10.300000000,20.600000000,transition
23,-56.750000000,9.842187500,19.684375000,transition
24,-55.000000000,9.375000000,18.750000000,transition
25,-53.250000000,8.907812500,17.815625000,transition
26,-51.500000000,8.450000000,16.900000000,transition
27,-49.750000000,8.010937500,16.021875000,transition
28,-48.000000000,7.600000000,15.200000000,transition
29,-46.250000000,7.226562500,14.453125000,transition
30,-44.500000000,6.900000000,13.800000000,transition
31,-42.750000000,6.629687500,13.259375000,transition
32,-41.000000000,6.425000000,12.850000000,transition
33,-39.250000000,6.295312500,12.590625000,transition
34,-37.500000000,6.250000000,12.500000000,parallel
35,-35.625000000,6.250000000,12.500000000,parallel
36,-33.750000000,6.250000000,12.500000000,parallel
37,-31.875000000,6.250000000,12.500000000,parallel
38,-30.000000000,6.250000000,12.500000000,parallel
39,-28.125000000,6.250000000,12.500000000,parallel
40,-26.250000000,6.250000000,12.500000000,parallel
41,-24.375000000,6.250000000,12.500000000,parallel
42,-22.500000000,6.250000000,12.500000000,parallel
43,-20.625000000,6.250000000,12.500000000,parallel
44,-18.750000000,6.250000000,12.500000000,parallel
45,-16.875000000,6.250000000,12.500000000,parallel
46,-15.000000000,6.250000000,12.500000000,parallel
47,-13.125000000,6.250000000,12.500000000,parallel
48,-11.250000000,6.250000000,12.500000000,parallel
49,-9.375000000,6.250000000,12.500000000,parallel
50,-7.500000000,6.250000000,12.500000000,parallel
51,-5.625000000,6.250000000,12.500000000,parallel
52,-3.750000000,6.250000000,12.500000000,parallel
53,-1.875000000,6.250000000,12.500000000,parallel
54,0.000000000,6.250000000,12.500000000,parallel
55,1.875000000,6.250000000,12.500000000,parallel
56,3.750000000,6.250000000,12.500000000,parallel
57,5.625000000,6.250000000,12.500000000,parallel
58,7.500000000,6.250000000,12.500000000,parallel
59,9.375000000,6.250000000,12.500000000,parallel
60,11.250000000,6.250000000,12.500000000,parallel
61,13.125000000,6.250000000,12.500000000,parallel
62,15.000000000,6.250000000,12.500000000,parallel
63,16.875000000,6.250000000,12.500000000,parallel
64,18.750000000,6.250000000,12.500000000,parallel
65,20.625000000,6.250000000,12.500000000,parallel
66,22.500000000,6.250000000,12.500000000,parallel
67,24.375000000,6.250000000,12.500000000,parallel
68,26.250000000,6.250000000,12.500000000,parallel
69,28.125000000,6.250000000,12.500000000,parallel
70,30.000000000,6.250000000,12.500000000,parallel
71,31.875000000,6.250000000,12.500000000,parallel
72,33.750000000,6.250000000,12.500000000,parallel
73,35.625000000,6.250000000,12.500000000,parallel
74,37.500000000,6.250000000,12.500000000,parallel
75,39.250000000,6.295312500,12.590625000,transition
76,41.000000000,6.425000000,12.850000000,transition
77,42.750000000,6.629687500,13.259375000,transition
78,44.500000000,6.900000000,13.800000000,transition
79,46.250000000,7.226562500,14.453125000,transition
80,48.000000000,7.600000000,15.200000000,transition
81,49.750000000,8.010937500,16.021875000,transition
82,51.500000000,8.450000000,16.900000000,transition
83,53.250000000,8.907812500,17.815625000,transition
84,55.000000000,9.375000000,18.750000000,transition
85,56.750000000,9.842187500,19.684375000,transition
86,58.500000000,10.300000000,20.600000000,transition
87,60.250000000,10.739062500,21.478125000,transition
88,62.000000000,11.150000000,22.300000000,transition
89,63.750000000,11.523437500,23.046875000,transition
90,65.500000000,11.850000000,23.700000000,transition
91,67.250000000,12.120312500,24.240625000,transition
92,69.000000000,12.325000000,24.650000000,transition
93,70.750000000,12.454687500,24.909375000,transition
94,72.500000000,12.500000000,25.000000000,transition
95,75.000000000,12.500000000,25.000000000,grip
96,77.500000000,12.500000000,25.000000000,grip
97,80.000000000,12.500000000,25.000000000,grip
98,82.500000000,12.500000000,25.000000000,grip
99,85.000000000,12.500000000,25.000000000,grip
100,87.500000000,12.500000000,25.000000000,grip
101,90.000000000,12.500000000,25.000000000,grip
102,92.500000000,12.500000000,25.000000000,grip
103,95.000000000,12.500000000,25.000000000,grip
104,97.500000000,12.500000000,25.000000000,grip
105,100.000000000,12.500000000,25.000000000,grip
106,102.500000000,12.500000000,25.000000000,grip
107,105.000000000,12.500000000,25.000000000,grip
108,107.500000000,12.500000000,25.000000000,grip
